Pattern(match=(2, 12, 10), count=13, length=3)
Pattern(match=(12, 10, 2), count=8, length=3)
Pattern(match=(6, 2, 12), count=29, length=3)
Pattern(match=(2, 12, 4), count=19, length=3)
Pattern(match=(12, 4, 6), count=21, length=3)
Pattern(match=(6, 8, 10), count=18, length=3)
Pattern(match=(8, 10, 8), count=14, length=3)
Pattern(match=(10, 8, 10), count=20, length=3)
Pattern(match=(10, 8, 6), count=18, length=3)
Pattern(match=(6, 4, 8), count=20, length=3)
Pattern(match=(4, 8, 6), count=16, length=3)
Pattern(match=(8, 6, 4), count=40, length=3)
Pattern(match=(8, 4, 14), count=10, length=3)
Pattern(match=(4, 14, 10), count=11, length=3)
Pattern(match=(14, 10, 12), count=4, length=3)
Pattern(match=(10, 12, 2), count=29, length=3)
Pattern(match=(12, 2, 10), count=16, length=3)
Pattern(match=(2, 4, 20), count=12, length=3)
Pattern(match=(4, 20, 4), count=12, length=3)
Pattern(match=(20, 4, 8), count=6, length=3)
Pattern(match=(10, 8, 4), count=22, length=3)
Pattern(match=(6, 6, 14), count=16, length=3)
Pattern(match=(6, 14, 4), count=19, length=3)
Pattern(match=(6, 6, 8), count=32, length=3)
Pattern(match=(8, 6, 12), count=15, length=3)
Pattern(match=(6, 12, 4), count=13, length=3)
Pattern(match=(2, 6, 18), count=12, length=3)
Pattern(match=(6, 18, 4), count=10, length=3)
Pattern(match=(18, 4, 2), count=8, length=3)
Pattern(match=(6, 6, 22), count=3, length=3)
Pattern(match=(6, 22, 2), count=10, length=3)
Pattern(match=(22, 2, 10), count=7, length=3)
Pattern(match=(2, 10, 8), count=26, length=3)
Pattern(match=(8, 10, 6), count=16, length=3)
Pattern(match=(6, 8, 12), count=10, length=3)
Pattern(match=(8, 12, 4), count=13, length=3)
Pattern(match=(2, 6, 12), count=16, length=3)
Pattern(match=(6, 12, 10), count=16, length=3)
Pattern(match=(12, 10, 18), count=8, length=3)
Pattern(match=(10, 18, 2), count=7, length=3)
Pattern(match=(18, 2, 4), count=10, length=3)
Pattern(match=(4, 12, 2), count=10, length=3)
Pattern(match=(12, 2, 6), count=25, length=3)
Pattern(match=(2, 6, 34), count=2, length=3)
Pattern(match=(6, 34, 6), count=3, length=3)
Pattern(match=(6, 8, 18), count=4, length=3)
Pattern(match=(8, 18, 10), count=8, length=3)
Pattern(match=(18, 10, 14), count=2, length=3)
Pattern(match=(6, 12, 12), count=14, length=3)
Pattern(match=(12, 12, 8), count=2, length=3)
Pattern(match=(12, 8, 12), count=5, length=3)
Pattern(match=(8, 12, 6), count=10, length=3)
Pattern(match=(12, 6, 4), count=26, length=3)
Pattern(match=(6, 2, 4), count=13, length=3)
Pattern(match=(6, 10, 20), count=3, length=3)
Pattern(match=(10, 20, 6), count=5, length=3)
Pattern(match=(20, 6, 4), count=6, length=3)
Pattern(match=(4, 2, 24), count=6, length=3)
Pattern(match=(2, 24, 4), count=7, length=3)
Pattern(match=(24, 4, 2), count=6, length=3)
Pattern(match=(2, 10, 12), count=17, length=3)
Pattern(match=(6, 6, 18), count=10, length=3)
Pattern(match=(6, 18, 6), count=6, length=3)
Pattern(match=(18, 6, 4), count=7, length=3)
Pattern(match=(12, 10, 12), count=5, length=3)
Pattern(match=(10, 12, 8), count=6, length=3)
Pattern(match=(12, 8, 16), count=2, length=3)
Pattern(match=(8, 16, 14), count=6, length=3)
Pattern(match=(16, 14, 6), count=4, length=3)
Pattern(match=(14, 6, 4), count=23, length=3)
Pattern(match=(10, 12, 6), count=14, length=3)
Pattern(match=(12, 6, 6), count=14, length=3)
Pattern(match=(6, 18, 2), count=9, length=3)
Pattern(match=(18, 2, 16), count=4, length=3)
Pattern(match=(2, 16, 2), count=15, length=3)
Pattern(match=(16, 2, 22), count=3, length=3)
Pattern(match=(2, 22, 6), count=10, length=3)
Pattern(match=(22, 6, 8), count=5, length=3)
Pattern(match=(2, 4, 8), count=20, length=3)
Pattern(match=(8, 6, 10), count=18, length=3)
Pattern(match=(10, 14, 10), count=5, length=3)
Pattern(match=(14, 10, 6), count=14, length=3)
Pattern(match=(10, 6, 12), count=13, length=3)
Pattern(match=(12, 2, 4), count=16, length=3)
Pattern(match=(12, 2, 16), count=11, length=3)
Pattern(match=(16, 2, 6), count=10, length=3)
Pattern(match=(10, 8, 18), count=5, length=3)
